GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
catan,catan,Colour,0,55,0,0,0,6,0,2,0,2
catan,catan,GameStateWriter,8,19,1,1,2,6,2,1,1,1
catan,catan,Action,8,75,3,2,3,17,3,11,0,10
catan,catan,ActionType,0,44,0,0,0,5,0,1,0,1
catan,catan,GameLogger,10,46,1,1,3,12,2,3,1,3
catan,catan,CommandParser.ParsedCommand,0,18,0,0,0,7,0,2,0,2
catan,catan,CommandParser.ConsoleCommandParser,18,144,0,16,6,39,0,12,0,4
catan,catan,ConsoleInputHandler,31,9,4,0,11,3,5,1,3,1
catan,catan,Dice,0,24,0,0,0,6,0,2,0,2
catan,catan,Tile,3,39,1,5,1,15,2,7,1,5
catan,catan,GameSnapshot.PlayerSnapshot,0,27,0,0,0,10,0,5,0,5
catan,catan,Game,50,851,17,87,11,181,17,56,0,20
catan,catan,TurnState,0,64,0,8,0,9,0,10,0,6
catan,catan,CommandParser.CommandType,0,74,0,0,0,8,0,1,0,1
catan,catan,Building,4,31,2,1,2,5,2,2,0,2
catan,catan,GameSnapshot,0,18,0,0,0,6,0,3,0,3
catan,catan,Demonstrator,42,52,6,8,14,12,6,4,2,1
catan,catan,Resources,0,64,0,0,0,7,0,1,0,1
catan,catan,Board,43,1288,19,61,6,137,18,46,2,22
catan,catan,GameStateExporter,0,74,0,2,0,18,0,5,0,4
catan,catan,Edge,3,60,0,8,1,16,1,12,1,8
catan,catan,Intersection,20,60,6,8,4,18,8,11,4,8
catan,catan,Player,31,383,6,32,4,76,7,32,3,17
catan,catan,VisualizerStateWriter,8,283,6,20,2,58,7,13,1,6
catan,catan,JSONWriter,5,128,1,5,1,26,1,5,0,3
catan,catan,HumanPlayer,65,559,14,61,14,122,14,39,2,11
catan,catan,Rules,21,431,11,59,3,74,11,37,0,13
